Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
06/25/2026 11:00 AM CT,"3113 W 20TH CT PANAMA CITY, FL- 32405","$93,845.02","$90,935.00","$95,841.42",25000787CA,28503-000-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000787CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=28503-000-000
06/25/2026 11:00 AM CT,"1814 RHETT PL LYNN HAVEN, FL- 32444","$242,876.12","$223,842.00",Hidden,25000846CA,11588-837-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000846CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=11588-837-000
06/26/2026 11:00 AM CT,"5036 E 14TH ST PANAMA CITY, FL- 32404","$270,127.09","$206,268.00",Hidden,25000991CA,14961-000-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000991CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=14961-000-000
06/29/2026 11:00 AM CT,"3706 E 7TH ST PANAMA CITY, FL- 32401","$195,681.77","$201,970.00",Hidden,24000445CA,23129-010-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24000445CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=23129-010-000
06/29/2026 11:00 AM CT,"9860 S THOMAS DR L5 A/K/A C2 PANAMA CITY BEACH, FL- 32408","$777,204.21","$38,400.00","$777,204.21",25000442CA,40001-000-790,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000442CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=40001-000-790
06/30/2026 11:00 AM CT,"1114 PENNSYLVANIA AVE LYNN HAVEN, FL- 32444","$35,116.80","$106,617.00","$35,116.80",22000762CA,09870-040-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=22000762CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=09870-040-000
06/30/2026 11:00 AM CT,"6600 SLABINSKI LN PANAMA CITY, FL- 32404","$369,264.57","$277,321.00","$369,264.57",25000492CA,05903-150-296,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000492CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=05903-150-296
06/30/2026 11:00 AM CT,"511 CACTUS AVE PANAMA CITY, FL- 32401","$94,958.54","$57,297.00","$94,958.54",25000648CA,22189-000-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000648CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=22189-000-000
07/01/2026 11:00 AM CT,"124 CHERI LN PANAMA CITY, FL- 32404","$165,272.61","$124,705.00","$165,272.61",25000585CA,25249-140-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000585CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=25249-140-000
07/01/2026 11:00 AM CT,"2400 GRANDIFLORA BLVD PANAMA CITY BEACH, FL- 32408","$2,789,279.50",$1.00,"$2,789,279.50",25001053CA,40000-600-199,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25001053CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=40000-600-199
07/07/2026 11:00 AM CT,"910 MULBERRY AVE PANAMA CITY, FL- 32401","$62,702.06","$70,954.00","$62,702.06",24000457CA,18590-000-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24000457CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=18590-000-000
