Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-04-24T10:59:12,NEW,25001159CA,04/24/2026 11:00 AM CT,"5118 WYMORE RD PANAMA CITY, FL- 32404","$128,156.04","$84,912.00",Hidden,05871-000-000
2026-04-24T10:59:12,NEW,25001387CC,04/24/2026 11:00 AM CT,"NORTHWOOD ST YOUNGSTOWN, FL- 32466","$49,720.32","$60,420.00","$36,200.00",05452-228-000
2026-04-24T10:59:12,NEW,25000033CA,04/30/2026 11:00 AM CT,"619 16TH ST PANAMA CITY BEACH, FL- 32413","$188,093.66","$213,475.00",Hidden,36582-124-000
2026-04-24T10:59:12,NEW,25001205CA,04/30/2026 11:00 AM CT,"241 ALLEN AVE PANAMA CITY, FL- 32401","$120,221.88","$43,070.00","$121,642.24",20185-000-000
2026-04-24T10:59:12,NEW,25000336CA,05/01/2026 11:00 AM CT,"17751 PANAMA CITY BEACH PKWY 1 PANAMA CITY BEACH, FL- 32413","$319,398.81","$226,610.00","$319,398.81",38461-172-000
2026-04-24T10:59:12,NEW,25000725CA,05/04/2026 11:00 AM CT,"8010 CAMPFLOWERS RD YOUNGSTOWN, FL- 32466","$132,654.20","$160,251.00","$132,654.20",05263-122-005
2026-04-24T10:59:12,NEW,25000586CA,05/08/2026 11:00 AM CT,"9412 ED LEE RD PANAMA CITY, FL- 32404","$343,227.50","$328,783.00","$343,227.50",03802-010-000
2026-04-24T10:59:12,NEW,25000131CA,05/11/2026 11:00 AM CT,"7301 SOUTH LAKE JOANNA DR PANAMA CITY, FL- 32404","$214,381.03","$76,159.00","$214,381.03",05635-127-000
2026-04-24T10:59:12,NEW,25001020CA,05/11/2026 11:00 AM CT,"1823 AIRPORT CIR PANAMA CITY, FL- 32405","$113,273.56",,"$113,273.56",Property
2026-04-24T10:59:12,NEW,25000427CA,05/14/2026 11:00 AM CT,"9860 S THOMAS DR 825 PANAMA CITY BEACH, FL- 32408","$33,580.66","$335,750.00","$33,580.66",40001-000-274
2026-04-24T10:59:12,NEW,25000327CA,05/18/2026 11:00 AM CT,"908 E 2ND CT PANAMA CITY, FL- 32401","$84,319.29","$140,330.00","$84,319.29",22054-000-000
2026-04-24T10:59:12,NEW,25000431CA,05/18/2026 11:00 AM CT,"9860 S THOMAS DR 921 PANAMA CITY BEACH, FL- 32408","$54,768.20","$365,500.00","$54,768.20",40001-000-308
2026-04-24T10:59:12,NEW,24000802CA,05/21/2026 11:00 AM CT,"120 HOMBRE CIR PANAMA CITY BEACH, FL- 32407","$306,096.17","$392,719.00","$306,096.17",34882-190-000
2026-04-24T10:59:12,NEW,25001021CA,05/26/2026 11:00 AM CT,"719 N 9TH ST PANAMA CITY, FL- 32404","$40,485.81","$59,811.00","$40,485.81",25360-000-000
2026-04-24T10:59:12,NEW,25001059CA,05/26/2026 11:00 AM CT,"3049 RACHEL PL SOUTHPORT, FL- 32409","$444,407.69","$353,141.00","$444,407.69",07899-750-050
2026-04-24T10:59:12,NEW,25003054CC,05/26/2026 11:00 AM CT,"7132 CLAYTON RD YOUNGSTOWN, FL- 32466","$4,850.00","$72,225.00","$4,850.00",05127-328-000
2026-04-24T10:59:12,NEW,25000579CA,05/27/2026 11:00 AM CT,"11615 POSTON RD PANAMA CITY, FL- 32404","$292,446.38","$525,574.00","$292,446.38",06677-000-000
2026-04-24T10:59:12,NEW,22000762CA,06/30/2026 11:00 AM CT,"1114 PENNSYLVANIA AVE LYNN HAVEN, FL- 32444","$35,116.80","$106,617.00","$35,116.80",09870-040-000
2026-04-24T10:59:12,NEW,25000204CA,07/17/2026 11:00 AM CT,"2119 BRIAWOOD CIR PANAMA CITY, FL- 32405","$173,710.49","$210,386.00","$173,710.49",26794-067-000
2026-04-24T10:59:12,NEW,25000472CA,07/30/2026 11:00 AM CT,"4709 MAEGAN'S RIDGE RD PANAMA CITY, FL- 32404","$421,163.04","$303,071.00","$421,163.04",05860-650-060
2026-04-27T02:09:17,CLOSED,25001159CA,04/24/2026 11:00 AM CT,"5118 WYMORE RD PANAMA CITY, FL- 32404","$128,156.04","$84,912.00",Hidden,05871-000-000
2026-04-27T02:09:17,CLOSED,25001387CC,04/24/2026 11:00 AM CT,"NORTHWOOD ST YOUNGSTOWN, FL- 32466","$49,720.32","$60,420.00","$36,200.00",05452-228-000
2026-04-28T02:09:19,NEW,23001239CA,05/26/2026 11:00 AM CT,"719 N 9TH ST PANAMA CITY, FL- 32404","$5,910,375.61","$59,811.00","$40,485.81",Property
2026-04-28T02:09:19,CLOSED,25001021CA,05/26/2026 11:00 AM CT,"719 N 9TH ST PANAMA CITY, FL- 32404","$40,485.81","$59,811.00","$40,485.81",25360-000-000
